,Community Area Mentioned,Coordinates,Day and Time,Number of Times Liked,Number of Times Retweeted,Tweet Content
1538,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 17:20:48,0,0,"I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/NZXAJ8ed9K"
1539,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 17:00:35,0,0,"It's been so long (@ Chicago O'Hare International Airport (ORD) in Chicago, IL) https://t.co/OuS9uRK65K"
1540,o'hare,"{'coordinates': [-87.90353091, 41.97695318], 'type': 'Point'}",2016-03-10 16:48:36,0,0,2 years later &amp; this isn't any easier. see you on the flip side 🇯🇵 @ Chicago O'Hare… https://t.co/go2zfBfB5q
1541,o'hare,"{'coordinates': [-87.90353091, 41.97695318], 'type': 'Point'}",2016-03-10 16:47:48,2,0,first bizco gig. ✈️ #pittsburgh #TheSecondCity #cherrypop🍒 😜 @ Chicago O'Hare International Airport https://t.co/p0wNP7746C
1542,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 16:44:56,0,0,"I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/fu0IolCwKT"
1543,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 15:59:01,0,0,Cannot say I am the biggest fan of Frontier Airlines. Cheap though. (@ Chicago O'Hare International Airport (ORD)) https://t.co/Lkueeh1VHK
1544,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 14:52:07,0,0,"I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/iFWs5kc2Am"
1545,o'hare,"{'coordinates': [-87.90353091, 41.97695318], 'type': 'Point'}",2016-03-10 14:06:30,1,0,Home sweet home. #Chicago #latergram #nofilter ✈️ @ Chicago O'Hare… https://t.co/T8vF1zGO6B
1546,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 13:58:36,3,0,"Tampa-bound. It's warm and nut much else. (@ Chicago O'Hare International Airport (ORD) in Chicago, IL w/ @beerad) https://t.co/UnAVcAGTLD"
1547,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 13:37:50,0,0,arrived Chicago.pick up baggage &amp; change airplane to Austin. (@ Chicago O'Hare International Airport (ORD)) https://t.co/EuZngwoZqu
1548,o'hare,"{'coordinates': [-87.90353091, 41.97695318], 'type': 'Point'}",2016-03-10 13:23:36,0,0,Savannah bound @ Chicago O'Hare International Airport https://t.co/W9E2jpZYzO
1549,o'hare,,2016-03-10 13:18:30,0,14,"RT @Lorna_Sheehan: I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/3BPXe4tu9n"
1550,o'hare,,2016-03-10 13:18:04,0,14,"RT @Lorna_Sheehan: I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/3BPXe4tu9n"
1551,o'hare,,2016-03-10 13:17:59,0,14,"RT @Lorna_Sheehan: I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/3BPXe4tu9n"
1552,o'hare,,2016-03-10 13:17:52,0,14,"RT @Lorna_Sheehan: I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/3BPXe4tu9n"
1553,o'hare,,2016-03-10 13:17:48,0,14,"RT @Lorna_Sheehan: I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/3BPXe4tu9n"
1554,o'hare,,2016-03-10 13:17:44,0,14,"RT @Lorna_Sheehan: I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/3BPXe4tu9n"
1555,o'hare,,2016-03-10 13:17:43,0,14,"RT @Lorna_Sheehan: I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/3BPXe4tu9n"
1556,o'hare,,2016-03-10 13:17:40,0,14,"RT @Lorna_Sheehan: I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/3BPXe4tu9n"
1557,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 13:13:11,10,14,"I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/3BPXe4tu9n"
1558,o'hare,"{'coordinates': [-87.90353091, 41.97695318], 'type': 'Point'}",2016-03-10 12:56:03,0,0,On my way back to the Sunflower State. @ Chicago O'Hare International Airport https://t.co/Uo0jFcpQEw
1559,o'hare,"{'coordinates': [-87.90353091, 41.97695318], 'type': 'Point'}",2016-03-10 12:44:21,0,0,Hello Chicago! @ Chicago O'Hare International Airport https://t.co/cPiBo357l6
1560,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 12:28:29,0,0,"I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/vAJSPaTtHN"
1561,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 12:28:14,0,0,"Pre check line is ridiculous (@ Chicago O'Hare International Airport (ORD) in Chicago, IL) https://t.co/iTtD0MgwVy"
1562,o'hare,"{'coordinates': [-87.90353091, 41.97695318], 'type': 'Point'}",2016-03-10 12:01:59,1,0,Obligatory wing shot #itstooearly #arizonabound @ Chicago O'Hare International Airport https://t.co/uaHsHsHzBA
1563,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 11:29:07,0,0,"Off to New York (@ Chicago O'Hare International Airport (ORD) in Chicago, IL) https://t.co/wsARmuCq87"
1564,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 10:56:57,1,0,"Flying to Austin for SxSw Interactive! (@ Chicago O'Hare International Airport (ORD) in Chicago, IL) https://t.co/h2V5aVNIvu"
1565,o'hare,"{'coordinates': [-87.90353091, 41.97695318], 'type': 'Point'}",2016-03-10 07:42:30,0,0,Waiting for my first flight EVER ✈️ @ Chicago O'Hare International Airport https://t.co/yCiOfVOs6W
1566,o'hare,"{'coordinates': [-87.85927662, 41.98121482], 'type': 'Point'}",2016-03-10 06:46:52,0,0,Afterparty hangin with jevon12 @ Hyatt Regency O'Hare https://t.co/lA00OiabPg
1567,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 05:04:49,0,0,"Finally back home.  Where is my bed! (@ Chicago O'Hare International Airport (ORD) in Chicago, IL) https://t.co/UKKofNkAmz"
1568,o'hare,"{'coordinates': [-87.90353091, 41.97695318], 'type': 'Point'}",2016-03-10 04:30:09,0,0,See you next time ✈️ @ Chicago O'Hare International Airport https://t.co/IN4vpCLBid
1569,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 03:59:33,0,0,"I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/GH80kKjYei"
1570,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 03:14:53,0,0,"halfway home (@ Chicago O'Hare International Airport (ORD) in Chicago, IL) https://t.co/mYo94ndw1C"
1571,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 02:44:44,0,0,"I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/7PlkFyLgGm"
1572,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 02:44:40,0,0,"I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/TlTOc8f3Vw"
1573,o'hare,,2016-03-10 01:41:53,0,2,"RT @stevewoz: Arrival of UA 1883 LAX to ORD. (@ Chicago O'Hare International Airport (ORD) in Chicago, IL) https://t.co/wql4WllELa"
1574,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 01:21:48,0,0,"I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/xV8IQpxTG8"
1575,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 00:56:14,2,0,"I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/6lHX3yTAQY"
1576,o'hare,"{'coordinates': [-87.90440083, 41.97727092], 'type': 'Point'}",2016-03-10 00:45:24,0,0,"I'm at Chicago O'Hare International Airport (ORD) in Chicago, IL https://t.co/Eosskgf7Gu"
1577,o'hare,"{'coordinates': [-87.90353091, 41.97695318], 'type': 'Point'}",2016-03-10 00:42:21,0,0,Traveling with #BlackEnomics @ Chicago O'Hare International Airport https://t.co/IBLZ694H4C
